dataset,analysis,metric,model_1,model_2,category,value,ci_lo,ci_hi,p_raw,p_adj,significant,effect_size,n,k
Eurorad,cohen_kappa,kappa,DeepSeek-R1,Gemma 4 31B,,0.4257,0.2518,0.5839,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-20b (H),gpt-oss-120b (H),,0.6909,0.5494,0.8171,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-20b (H),Qwen3.5 9B,,0.5575,0.4056,0.685,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-20b (H),Qwen3.5 27B,,0.4935,0.3474,0.6284,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-20b (H),Qwen3.5 35B,,0.585,0.4331,0.7162,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-20b (H),Qwen3.5 35B FT,,0.4398,0.2718,0.5873,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-20b (H),Gemma 4 31B,,0.4054,0.2406,0.5595,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-120b (H),Qwen3.5 9B,,0.4661,0.3066,0.6038,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-120b (H),Qwen3.5 27B,,0.485,0.3224,0.6282,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-120b (H),Qwen3.5 35B,,0.5778,0.4132,0.7187,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-120b (H),Qwen3.5 35B FT,,0.3792,0.1937,0.5445,,,,,,
Eurorad,cohen_kappa,kappa,gpt-oss-120b (H),Gemma 4 31B,,0.4209,0.2473,0.5842,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 9B,Qwen3.5 27B,,0.7167,0.6008,0.8268,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 9B,Qwen3.5 35B,,0.6384,0.4934,0.7614,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 9B,Qwen3.5 35B FT,,0.3565,0.1944,0.5008,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 9B,Gemma 4 31B,,0.4823,0.3318,0.6263,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 27B,Qwen3.5 35B,,0.5733,0.3994,0.7099,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 27B,Qwen3.5 35B FT,,0.3939,0.2124,0.5551,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 27B,Gemma 4 31B,,0.4301,0.2591,0.6013,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 35B,Qwen3.5 35B FT,,0.6402,0.4722,0.7762,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 35B,Gemma 4 31B,,0.5967,0.4283,0.7429,,,,,,
Eurorad,cohen_kappa,kappa,Qwen3.5 35B FT,Gemma 4 31B,,0.416,0.209,0.592,,,,,,
NMED_Diagnosis,error_summary,median_error,GPT-5.1,,,0.0,-0.5,0.1042,,,,,720,
NMED_Diagnosis,error_summary,median_error,GPT-5-mini,,,-0.5,-1.1042,0.0,,,,,720,
NMED_Diagnosis,error_summary,median_error,Gemini 3.1,,,0.0,0.0,0.5,,,,,720,
NMED_Diagnosis,error_summary,median_error,DeepSeek-R1,,,-0.3333,-0.6667,0.0,,,,,720,
NMED_Diagnosis,error_summary,median_error,gpt-oss-20b (H),,,-0.25,-0.6667,0.0,,,,,720,
NMED_Diagnosis,error_summary,median_error,gpt-oss-120b (H),,,0.0,-0.5,0.2708,,,,,720,
NMED_Diagnosis,error_summary,median_error,Qwen3.5 9B,,,0.0,0.0,0.5,,,,,720,
NMED_Diagnosis,error_summary,median_error,Qwen3.5 27B,,,0.0,0.0,0.5,,,,,720,
NMED_Diagnosis,error_summary,median_error,Qwen3.5 35B,,,0.0,-0.0833,0.5,,,,,720,
NMED_Diagnosis,error_summary,median_error,Gemma 4 31B,,,0.0,0.0,0.5,,,,,720,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,GPT-5-mini,,,,,0.0,0.0,yes,-0.6505,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,Gemini 3.1,,,,,0.7024,1.0,no,-0.0239,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,DeepSeek-R1,,,,,0.0031,0.0397,yes,-0.1467,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,gpt-oss-20b (H),,,,,0.0,0.0,yes,-0.291,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,gpt-oss-120b (H),,,,,0.0,0.0,yes,-0.3854,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,Qwen3.5 9B,,,,,0.0626,0.313,no,0.1079,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,Qwen3.5 27B,,,,,0.0,0.0,yes,0.2712,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,Qwen3.5 35B,,,,,0.0053,0.0634,no,0.1499,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5.1,Gemma 4 31B,,,,,0.7948,1.0,no,-0.0113,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,Gemini 3.1,,,,,0.0,0.0,yes,0.634,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,DeepSeek-R1,,,,,0.0,0.0,yes,0.4948,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,gpt-oss-20b (H),,,,,0.0,0.0,yes,0.3786,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,gpt-oss-120b (H),,,,,0.0,0.0,yes,0.2765,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,Qwen3.5 9B,,,,,0.0,0.0,yes,0.6457,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,Qwen3.5 27B,,,,,0.0,0.0,yes,0.7464,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,Qwen3.5 35B,,,,,0.0,0.0,yes,0.6843,,
NMED_Diagnosis,wilcoxon,p_value,GPT-5-mini,Gemma 4 31B,,,,,0.0,0.0,yes,0.677,,
NMED_Diagnosis,wilcoxon,p_value,Gemini 3.1,DeepSeek-R1,,,,,0.0254,0.1523,no,-0.1088,,
NMED_Diagnosis,wilcoxon,p_value,Gemini 3.1,gpt-oss-20b (H),,,,,0.0,0.0,yes,-0.2586,,
NMED_Diagnosis,wilcoxon,p_value,Gemini 3.1,gpt-oss-120b (H),,,,,0.0,0.0,yes,-0.4927,,
NMED_Diagnosis,wilcoxon,p_value,Gemini 3.1,Qwen3.5 9B,,,,,0.0106,0.1063,no,0.1786,,
NMED_Diagnosis,wilcoxon,p_value,Gemini 3.1,Qwen3.5 27B,,,,,0.0,0.0,yes,0.5163,,
NMED_Diagnosis,wilcoxon,p_value,Gemini 3.1,Qwen3.5 35B,,,,,0.0001,0.0024,yes,0.2651,,
NMED_Diagnosis,wilcoxon,p_value,Gemini 3.1,Gemma 4 31B,,,,,0.5881,1.0,no,-0.0431,,
NMED_Diagnosis,wilcoxon,p_value,DeepSeek-R1,gpt-oss-20b (H),,,,,0.016,0.128,no,-0.1293,,
NMED_Diagnosis,wilcoxon,p_value,DeepSeek-R1,gpt-oss-120b (H),,,,,0.0002,0.0026,yes,-0.1789,,
NMED_Diagnosis,wilcoxon,p_value,DeepSeek-R1,Qwen3.5 9B,,,,,0.0,0.0002,yes,0.2052,,
NMED_Diagnosis,wilcoxon,p_value,DeepSeek-R1,Qwen3.5 27B,,,,,0.0,0.0,yes,0.3528,,
NMED_Diagnosis,wilcoxon,p_value,DeepSeek-R1,Qwen3.5 35B,,,,,0.0,0.0,yes,0.2592,,
NMED_Diagnosis,wilcoxon,p_value,DeepSeek-R1,Gemma 4 31B,,,,,0.0216,0.151,no,0.1131,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-20b (H),gpt-oss-120b (H),,,,,0.0053,0.0634,no,-0.1439,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-20b (H),Qwen3.5 9B,,,,,0.0,0.0,yes,0.3589,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-20b (H),Qwen3.5 27B,,,,,0.0,0.0,yes,0.4906,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-20b (H),Qwen3.5 35B,,,,,0.0,0.0,yes,0.4179,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-20b (H),Gemma 4 31B,,,,,0.0,0.0,yes,0.2798,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-120b (H),Qwen3.5 9B,,,,,0.0,0.0,yes,0.435,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-120b (H),Qwen3.5 27B,,,,,0.0,0.0,yes,0.5818,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-120b (H),Qwen3.5 35B,,,,,0.0,0.0,yes,0.4525,,
NMED_Diagnosis,wilcoxon,p_value,gpt-oss-120b (H),Gemma 4 31B,,,,,0.0,0.0,yes,0.4774,,
NMED_Diagnosis,wilcoxon,p_value,Qwen3.5 9B,Qwen3.5 27B,,,,,0.0,0.0004,yes,0.3107,,
NMED_Diagnosis,wilcoxon,p_value,Qwen3.5 9B,Qwen3.5 35B,,,,,0.5377,1.0,no,0.0331,,
NMED_Diagnosis,wilcoxon,p_value,Qwen3.5 9B,Gemma 4 31B,,,,,0.0112,0.1063,no,-0.2023,,
NMED_Diagnosis,wilcoxon,p_value,Qwen3.5 27B,Qwen3.5 35B,,,,,0.001,0.0139,yes,-0.2433,,
NMED_Diagnosis,wilcoxon,p_value,Qwen3.5 27B,Gemma 4 31B,,,,,0.0,0.0,yes,-0.6593,,
NMED_Diagnosis,wilcoxon,p_value,Qwen3.5 35B,Gemma 4 31B,,,,,0.0007,0.0103,yes,-0.2479,,
NMED_Diagnosis,icc_3k,icc,GPT-5.1,,,0.9384,0.922,0.9515,,,,,,
NMED_Diagnosis,icc_3k,icc,GPT-5-mini,,,0.9946,0.9935,0.9956,,,,,,
NMED_Diagnosis,icc_3k,icc,Gemini 3.1,,,0.9924,0.9904,0.9941,,,,,,
NMED_Diagnosis,icc_3k,icc,DeepSeek-R1,,,0.8184,0.7789,0.8509,,,,,,
NMED_Diagnosis,icc_3k,icc,gpt-oss-20b (H),,,0.859,0.8304,0.883,,,,,,
NMED_Diagnosis,icc_3k,icc,gpt-oss-120b (H),,,0.9381,0.9221,0.9512,,,,,,
NMED_Diagnosis,icc_3k,icc,Qwen3.5 9B,,,0.9142,0.8937,0.9302,,,,,,
NMED_Diagnosis,icc_3k,icc,Qwen3.5 27B,,,0.9532,0.9409,0.9634,,,,,,
NMED_Diagnosis,icc_3k,icc,Qwen3.5 35B,,,0.9022,0.8809,0.9203,,,,,,
NMED_Diagnosis,icc_3k,icc,Gemma 4 31B,,,0.9895,0.9859,0.9925,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,GPT-5-mini,,0.5405,0.496,0.5802,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,Gemini 3.1,,0.6537,0.6081,0.6918,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,DeepSeek-R1,,0.576,0.5299,0.6165,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,gpt-oss-20b (H),,0.6399,0.5995,0.6794,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,gpt-oss-120b (H),,0.6096,0.563,0.6503,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,Qwen3.5 9B,,0.4486,0.3964,0.4966,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,Qwen3.5 27B,,0.5283,0.4836,0.5682,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,Qwen3.5 35B,,0.5421,0.4977,0.5809,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5.1,Gemma 4 31B,,0.6543,0.608,0.6954,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,Gemini 3.1,,0.469,0.4166,0.5159,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,DeepSeek-R1,,0.5015,0.4553,0.5462,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,gpt-oss-20b (H),,0.5437,0.5003,0.5815,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,gpt-oss-120b (H),,0.518,0.469,0.5634,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,Qwen3.5 9B,,0.2911,0.2478,0.335,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,Qwen3.5 27B,,0.3248,0.2837,0.3664,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,Qwen3.5 35B,,0.3733,0.3308,0.4133,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,GPT-5-mini,Gemma 4 31B,,0.4571,0.4057,0.5046,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Gemini 3.1,DeepSeek-R1,,0.5475,0.4967,0.5926,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Gemini 3.1,gpt-oss-20b (H),,0.5737,0.5258,0.617,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Gemini 3.1,gpt-oss-120b (H),,0.6839,0.6364,0.722,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Gemini 3.1,Qwen3.5 9B,,0.6021,0.5547,0.6421,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Gemini 3.1,Qwen3.5 27B,,0.7385,0.7083,0.7668,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Gemini 3.1,Qwen3.5 35B,,0.676,0.6395,0.7085,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Gemini 3.1,Gemma 4 31B,,0.917,0.8941,0.9371,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,DeepSeek-R1,gpt-oss-20b (H),,0.6121,0.5675,0.6508,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,DeepSeek-R1,gpt-oss-120b (H),,0.5471,0.4974,0.5905,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,DeepSeek-R1,Qwen3.5 9B,,0.4035,0.3544,0.4469,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,DeepSeek-R1,Qwen3.5 27B,,0.4526,0.4075,0.494,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,DeepSeek-R1,Qwen3.5 35B,,0.4828,0.4396,0.5218,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,DeepSeek-R1,Gemma 4 31B,,0.5511,0.5008,0.5972,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-20b (H),gpt-oss-120b (H),,0.6583,0.6186,0.6928,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-20b (H),Qwen3.5 9B,,0.4248,0.377,0.4677,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-20b (H),Qwen3.5 27B,,0.4492,0.4052,0.491,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-20b (H),Qwen3.5 35B,,0.5087,0.4642,0.5476,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-20b (H),Gemma 4 31B,,0.563,0.5121,0.6085,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-120b (H),Qwen3.5 9B,,0.4764,0.429,0.5188,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-120b (H),Qwen3.5 27B,,0.5234,0.4832,0.5608,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-120b (H),Qwen3.5 35B,,0.5403,0.5003,0.5753,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,gpt-oss-120b (H),Gemma 4 31B,,0.6618,0.6132,0.7063,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Qwen3.5 9B,Qwen3.5 27B,,0.6893,0.6466,0.7271,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Qwen3.5 9B,Qwen3.5 35B,,0.6481,0.603,0.6869,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Qwen3.5 9B,Gemma 4 31B,,0.6105,0.5641,0.6497,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Qwen3.5 27B,Qwen3.5 35B,,0.7387,0.7028,0.7727,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Qwen3.5 27B,Gemma 4 31B,,0.751,0.7215,0.7781,,,,,,
NMED_Diagnosis,weighted_kappa,kappa_w,Qwen3.5 35B,Gemma 4 31B,,0.6749,0.6362,0.7075,,,,,,
NMED_Treatment,error_summary,median_error,GPT-5.1,,,0.3333,0.0,0.6667,,,,,595,
NMED_Treatment,error_summary,median_error,GPT-5-mini,,,0.25,0.0,0.6667,,,,,595,
NMED_Treatment,error_summary,median_error,Gemini 3.1,,,0.5,0.0,1.0,,,,,595,
NMED_Treatment,error_summary,median_error,DeepSeek-R1,,,0.25,0.0,0.6667,,,,,595,
NMED_Treatment,error_summary,median_error,gpt-oss-20b (H),,,0.1667,-0.2917,0.5,,,,,595,
NMED_Treatment,error_summary,median_error,gpt-oss-120b (H),,,0.1667,-0.1667,0.5,,,,,595,
NMED_Treatment,error_summary,median_error,Qwen3.5 9B,,,0.5,0.0,0.8333,,,,,595,
NMED_Treatment,error_summary,median_error,Qwen3.5 27B,,,0.5,0.0,0.8333,,,,,595,
NMED_Treatment,error_summary,median_error,Qwen3.5 35B,,,0.5,0.0,1.0,,,,,595,
NMED_Treatment,error_summary,median_error,Gemma 4 31B,,,0.5,0.0,0.75,,,,,595,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,GPT-5-mini,,,,,0.0987,1.0,no,0.1247,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,Gemini 3.1,,,,,0.0389,1.0,no,0.1764,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,DeepSeek-R1,,,,,0.0,0.0005,yes,0.2779,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,gpt-oss-20b (H),,,,,0.0137,0.4802,no,0.1515,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,gpt-oss-120b (H),,,,,0.0096,0.3568,no,0.1573,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,Qwen3.5 9B,,,,,0.0093,0.3539,no,0.185,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,Qwen3.5 27B,,,,,0.0074,0.296,no,0.2072,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,Qwen3.5 35B,,,,,0.0686,1.0,no,0.1497,,
NMED_Treatment,wilcoxon,p_value,GPT-5.1,Gemma 4 31B,,,,,0.0474,1.0,no,0.1605,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,Gemini 3.1,,,,,0.462,1.0,no,0.0643,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,DeepSeek-R1,,,,,0.0005,0.0224,yes,0.2308,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,gpt-oss-20b (H),,,,,0.2519,1.0,no,0.076,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,gpt-oss-120b (H),,,,,0.2793,1.0,no,0.0748,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,Qwen3.5 9B,,,,,0.1675,1.0,no,0.0941,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,Qwen3.5 27B,,,,,0.1632,1.0,no,0.107,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,Qwen3.5 35B,,,,,0.5612,1.0,no,0.0429,,
NMED_Treatment,wilcoxon,p_value,GPT-5-mini,Gemma 4 31B,,,,,0.9599,1.0,no,-0.0131,,
NMED_Treatment,wilcoxon,p_value,Gemini 3.1,DeepSeek-R1,,,,,0.0001,0.0055,yes,0.2878,,
NMED_Treatment,wilcoxon,p_value,Gemini 3.1,gpt-oss-20b (H),,,,,0.5705,1.0,no,0.0408,,
NMED_Treatment,wilcoxon,p_value,Gemini 3.1,gpt-oss-120b (H),,,,,0.3373,1.0,no,0.0671,,
NMED_Treatment,wilcoxon,p_value,Gemini 3.1,Qwen3.5 9B,,,,,0.0577,1.0,no,0.1635,,
NMED_Treatment,wilcoxon,p_value,Gemini 3.1,Qwen3.5 27B,,,,,0.2099,1.0,no,0.1107,,
NMED_Treatment,wilcoxon,p_value,Gemini 3.1,Qwen3.5 35B,,,,,0.9563,1.0,no,-0.0012,,
NMED_Treatment,wilcoxon,p_value,Gemini 3.1,Gemma 4 31B,,,,,0.5544,1.0,no,-0.0688,,
NMED_Treatment,wilcoxon,p_value,DeepSeek-R1,gpt-oss-20b (H),,,,,0.0626,1.0,no,-0.1091,,
NMED_Treatment,wilcoxon,p_value,DeepSeek-R1,gpt-oss-120b (H),,,,,0.05,1.0,no,-0.1249,,
NMED_Treatment,wilcoxon,p_value,DeepSeek-R1,Qwen3.5 9B,,,,,0.0124,0.4481,no,-0.1594,,
NMED_Treatment,wilcoxon,p_value,DeepSeek-R1,Qwen3.5 27B,,,,,0.0079,0.3086,no,-0.1885,,
NMED_Treatment,wilcoxon,p_value,DeepSeek-R1,Qwen3.5 35B,,,,,0.0003,0.0109,yes,-0.2418,,
NMED_Treatment,wilcoxon,p_value,DeepSeek-R1,Gemma 4 31B,,,,,0.0003,0.0121,yes,-0.2577,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-20b (H),gpt-oss-120b (H),,,,,0.8713,1.0,no,0.0105,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-20b (H),Qwen3.5 9B,,,,,0.6375,1.0,no,-0.0244,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-20b (H),Qwen3.5 27B,,,,,0.9299,1.0,no,-0.0035,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-20b (H),Qwen3.5 35B,,,,,0.2839,1.0,no,-0.0627,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-20b (H),Gemma 4 31B,,,,,0.266,1.0,no,-0.0797,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-120b (H),Qwen3.5 9B,,,,,0.6333,1.0,no,-0.0286,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-120b (H),Qwen3.5 27B,,,,,0.6817,1.0,no,-0.0356,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-120b (H),Qwen3.5 35B,,,,,0.19,1.0,no,-0.0816,,
NMED_Treatment,wilcoxon,p_value,gpt-oss-120b (H),Gemma 4 31B,,,,,0.1672,1.0,no,-0.0884,,
NMED_Treatment,wilcoxon,p_value,Qwen3.5 9B,Qwen3.5 27B,,,,,0.9263,1.0,no,-0.0223,,
NMED_Treatment,wilcoxon,p_value,Qwen3.5 9B,Qwen3.5 35B,,,,,0.0623,1.0,no,-0.1625,,
NMED_Treatment,wilcoxon,p_value,Qwen3.5 9B,Gemma 4 31B,,,,,0.045,1.0,no,-0.1576,,
NMED_Treatment,wilcoxon,p_value,Qwen3.5 27B,Qwen3.5 35B,,,,,0.0433,1.0,no,-0.1844,,
NMED_Treatment,wilcoxon,p_value,Qwen3.5 27B,Gemma 4 31B,,,,,0.0674,1.0,no,-0.1638,,
NMED_Treatment,wilcoxon,p_value,Qwen3.5 35B,Gemma 4 31B,,,,,0.6062,1.0,no,-0.0476,,
NMED_Treatment,icc_3k,icc,GPT-5.1,,,0.95,0.933,0.9649,,,,,,
NMED_Treatment,icc_3k,icc,GPT-5-mini,,,0.9933,0.9911,0.995,,,,,,
NMED_Treatment,icc_3k,icc,Gemini 3.1,,,0.9872,0.9794,0.993,,,,,,
NMED_Treatment,icc_3k,icc,DeepSeek-R1,,,0.8856,0.8506,0.9113,,,,,,
NMED_Treatment,icc_3k,icc,gpt-oss-20b (H),,,0.6996,0.645,0.7504,,,,,,
NMED_Treatment,icc_3k,icc,gpt-oss-120b (H),,,0.7711,0.7232,0.8146,,,,,,
NMED_Treatment,icc_3k,icc,Qwen3.5 9B,,,0.9319,0.903,0.9539,,,,,,
NMED_Treatment,icc_3k,icc,Qwen3.5 27B,,,0.9598,0.948,0.97,,,,,,
NMED_Treatment,icc_3k,icc,Qwen3.5 35B,,,0.9445,0.9232,0.9619,,,,,,
NMED_Treatment,icc_3k,icc,Gemma 4 31B,,,0.961,0.9419,0.9741,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,GPT-5-mini,,0.3268,0.2456,0.4046,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,Gemini 3.1,,0.1105,0.0275,0.2078,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,DeepSeek-R1,,0.2155,0.1464,0.2876,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,gpt-oss-20b (H),,0.2526,0.1857,0.3192,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,gpt-oss-120b (H),,0.4001,0.3358,0.464,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,Qwen3.5 9B,,0.1683,0.0912,0.2505,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,Qwen3.5 27B,,0.2918,0.2134,0.373,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,Qwen3.5 35B,,0.1923,0.1123,0.2795,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5.1,Gemma 4 31B,,0.4965,0.418,0.5716,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,Gemini 3.1,,0.1361,0.048,0.2296,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,DeepSeek-R1,,0.2646,0.1885,0.3391,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,gpt-oss-20b (H),,0.2202,0.1566,0.2833,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,gpt-oss-120b (H),,0.2456,0.1779,0.3167,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,Qwen3.5 9B,,0.1651,0.0967,0.2384,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,Qwen3.5 27B,,0.2985,0.2188,0.3792,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,Qwen3.5 35B,,0.1963,0.1181,0.2783,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,GPT-5-mini,Gemma 4 31B,,0.393,0.3053,0.4766,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,Gemini 3.1,DeepSeek-R1,,0.2293,0.1338,0.3242,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,Gemini 3.1,gpt-oss-20b (H),,0.1246,0.0611,0.1923,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,Gemini 3.1,gpt-oss-120b (H),,0.1452,0.0725,0.2199,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,Gemini 3.1,Qwen3.5 9B,,0.1356,0.0177,0.2769,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,Gemini 3.1,Qwen3.5 27B,,0.2372,0.08,0.3835,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,Gemini 3.1,Qwen3.5 35B,,0.1893,0.0584,0.3319,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,Gemini 3.1,Gemma 4 31B,,0.1763,0.06,0.3002,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,DeepSeek-R1,gpt-oss-20b (H),,0.2695,0.2062,0.3358,,,,,,
NMED_Treatment,weighted_kappa,kappa_w,DeepSeek-R1,gpt-oss-120b (H),,0.2748,0.2056,0.3415,,,,,,
