6,Topic,Type,Question,GT,gpt5-0807-m1,gpt5-0807-m2,gpt5-0807-m3,gpt-5.1-1113-m1,gpt-5.1-1113-m2,gpt-5.1-1113-m3,gpt-5.2-1211-m1,gpt-5.2-1211-m2,gpt-5.2-1211-m3,gpt-5-mini-0807-m1,gpt-5-mini-0807-m2,gpt-5-mini-0807-m3,o4-mini-m1,o4-mini-m2,o4-mini-m3,gemini-3.1-pro-m1,gemini-3.1-pro-m2,gemini-3.1-pro-m3,ds-r1-0528-v1,ds-r1-0528-v2,ds-r1-0528-v3,oss20b (L) v1,oss20b (L) v2,oss20b (L) v3,oss20b (M) v1,oss20b (M) v2,oss20b (M) v3,oss20b (H) v1,oss20b (H) v2,oss20b (H) v3,oss120b (L) v1,oss120b (L) v2,oss120b (L) v3,oss120b (M) v1,oss120b (M) v2,oss120b (M) v3,oss120b (H) v1,oss120b (H) v2,oss120b (H) v3,qwen3.5 35B v1,qwen3.5 35B v2,qwen3.5 35B v3,qwen3.5 9B v1,qwen3.5 9B v2,qwen3.5 9B v3,qwen3.5 27B v1,qwen3.5 27B v2,qwen3.5 27B v3
23.0,Ocular Trauma,Management,"A 32-year-old male presented to the emergency department at 9 PM with a 2-hour history of left eye pain and visual impairment following a stab injury with a knife by an assailant. No prior ocular or systemic medical history.  
**Examination Findings:**  
- Vital signs: Conscious, T: 37°C, P: 74 bpm, R: 27/min, BP: 135/86 mmHg.  
- Visual acuity: Right eye 1.5; Left eye hand motion (HM) at 10 cm.  
- Left eye findings: Conjunctival congestion, lateral subconjunctival hemorrhage, a 6-mm vertical laceration perpendicular to the limbus at 6 mm from the 2 o’clock corneal limbus, with incarcerated uveal tissue. Cornea clear, hyphema present; posterior segment not visualized.  

**10-Day Follow-Up:**  
- Wound well-apposed; hyphema mostly resolved.  
- Visual acuity: Left eye HM at 25 cm.  
- Intraocular pressure (Schiotz tonometer): Right 2 mmHg, Left 21 mmHg.  
- B-scan: Lens and vitreous opacities; no retinal detachment.  
- PVEP: No waveform detected (healthy eye: amplitude 17 μV, latency 98 ms).  
- FVEP: Amplitude 8 μV, latency 87 ms.  

**Postoperative Course:**  
After left eye lensectomy, vitrectomy, and IOL implantation, visual acuity improved to 1.0. However, one week later:  
- Vision declined to 0.5 with persistent inflammation.  
- **Uninjured right eye** developed acute photophobia, epiphora, and blurred distance vision.  
- Refractive testing: No improvement in right eye; left eye corrected to 1.2 with +1.25 DS.  

**[Multiple Choice Question]**  
**What is the MOST likely diagnosis?**  
A. Endophthalmitis with bilateral acute conjunctivitis  
B. Recurrent vitreous hemorrhage and refractive error in the uninjured eye  
C. IOL-associated fibrotic membrane with conjunctivitis  
D. Sympathetic ophthalmia  
E. Peripheral choroidal detachment and refractive error in the uninjured eye  
F. Cystoid macular edema with iridocyclitis in the uninjured eye  
G. Phacoanaphylactic uveitis  ",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
24.0,Ocular Trauma,Management,"A 32-year-old male presented to the emergency department at 9 PM with a 2-hour history of left eye pain and vision loss following a stab injury with a knife by an assailant. No prior ocular or systemic medical history.  
**Examination:** Alert, vital signs: T 37°C, P 74 bpm, R 27/min, BP 135/86 mmHg. Visual acuity: right eye 1.5, left eye hand motion at 10 cm. Left eye showed conjunctival congestion, lateral subconjunctival hemorrhage, and a 6-mm perpendicular corneal-scleral wound at 6 mm posterior to the limbus at 2 o’clock, with uveal tissue prolapse. Cornea was clear, hyphema present, and posterior structures obscured.  
**10 days post-admission:** Wound well-apposed, hyphema mostly resolved, but vision remained hand motion at 25 cm. Intraocular pressure (Schiotz tonometer): right eye 2 mmHg, left eye 21 mmHg. B-scan revealed lens and vitreous opacities, no retinal detachment. PVEP: no waveform (healthy eye amplitude 17µV, latency 98ms); FVEP amplitude 8µV, latency 87ms.  
**Postoperative course:** After lensectomy, vitrectomy, and IOL implantation, vision improved to 1.0, but declined to 0.5 at 1 week post-op with persistent inflammation. Uninjured right eye developed photophobia, epiphora, and blurred distance vision. Refraction test: no improvement in right eye; left eye 1.25DS → 1.2.  
**Current status:** Over subsequent days, bilateral vision continued to decline. Preliminary diagnosis: sympathetic ophthalmia.  

**[Multiple Choice Question]**  
**Which findings support the clinical diagnosis of sympathetic ophthalmia?**  
A. History of trauma or surgery  
B. Rapid bilateral vision loss  
C. Bilateral sequential onset of uveitis  
D. Presence of Dalen-Fuchs nodules on fundus examination  
E. Fluorescein angiography showing macular leakage  
F. Mutton-fat keratic precipitates in the uninjured eye  
G. Fluorescein angiography revealing disc edema  
H. Pathological examination of the enucleated injured eye  ",ABCDFG,ABCDEFGH,ABCDEFG,ABCDEFGH,ABCDEFGH,ABCDFGH,ABCDEFGH,ACDEFGH,ACDEFG,ABDEFGH,ABCDEFGH,ABCDEFGH,ABCDEFGH,ABCDFGH,ABCDFG,ABCDFGH,ACDF,ACDEFG,ACDF,ABC,AC,ABCDF,ACDFG,ACDFG,ACDFG,ACDF,ABCDFG,ACDF,ACDFH,ABCDFG,ACDFG,ACDF,ACDEFGH,ACDEFG,ACDFGH,ACDEFGH,ACDFGH,ACDFGH,ACDEFG,ACDFG,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF
25.0,Ocular Trauma,Management,"A 32-year-old male presented to the emergency department at 9 PM with a 2-hour history of left eye pain and vision loss following a stab injury with a knife by an assailant. No prior ocular or systemic medical history.  
**Examination Findings:**  
- **Vitals:** Conscious, T: 37°C, P: 74 bpm, R: 27 bpm, BP: 135/86 mmHg.  
- **Visual Acuity:** Right eye 1.5; Left eye hand motion at 10 cm.  
- **Left Eye:** Conjunctival congestion, lateral subconjunctival hemorrhage, a 6-mm long conjunctival and scleral wound perpendicular to the limbus at 6 mm external to the 2 o'clock position of the corneal limbus, with incarcerated uveal tissue. Cornea clear, hyphema present, posterior structures not visualized.  
- **10 Days Post-Admission:** Wound well-approximated, hyphema mostly resolved, but visual acuity remained hand motion at 25 cm.  
- **Intraocular Pressure (Schiotz tonometer):** Right 2 mmHg, Left 21 mmHg.  
- **B-Scan Ultrasound:** Lens and vitreous opacities, no retinal detachment.  
- **PVEP:** No detectable waveforms (healthy eye amplitude 17 μV, latency 98 ms).  
- **FVEP:** Amplitude 8 μV, latency 87 ms.  
**Postoperative Course:**  
After lensectomy, vitrectomy, and IOL implantation, visual acuity improved to 1.0. However, one week later, vision declined to 0.5 with persistent inflammation. The uninjured right eye developed photophobia, epiphora, and blurred distance vision. Refractive correction: No improvement in the right eye; left eye 1.25 DS → 1.2. Over subsequent days, bilateral vision continued to deteriorate. Provisional diagnosis: Sympathetic ophthalmia.  

**[Multiple Choice Question]**  
**Clues:** For the emergency management of sympathetic ophthalmia, which of the following interventions are appropriate?  
A. Systemic and topical administration of high-dose corticosteroids  
B. Antibiotics and vitamins  
C. Mydriatics  
D. Pyretotherapy  
E. Enucleation of the injured eye  
F. Immunosuppressants  ",ACF,ACF,ACEF,ACEF,ACEF,ACEF,ACF,ACF,ACF,ACF,ACEF,ACE,ACEF,ACF,ACF,ACF,ACF,ACF,ACF,ACF,ACF,ACF,AEF,AF,AF,AF,AEF,AF,AEF,AF,AF,ACF,ACF,ACF,ACF,ACEF,ACEF,ACEF,ACF,AF,AF,ACF,ACEF,ACF,AF,AC,ACEF,ACF,ACEF
26.0,Anterior Segment Diseases,Diagnosis,"Male, 15 years old, presents with intense itching in both eyes, with recurrent episodes occurring every spring and summer and resolution in autumn and winter. Examination reveals multiple flat, variably sized pale-red papillae on the upper tarsal conjunctiva resembling cobblestones, accompanied by mucoid, stringy discharge.

[Single-choice question] The most likely diagnosis for this patient is ( )  
A. Chronic follicular conjunctivitis  
B. Trachoma  
C. Vernal keratoconjunctivitis  
D. Inclusion conjunctivitis  
E. Phlyctenular conjunctivitis  
",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
27.0,Anterior Segment Diseases,Management,"Patient, male, 15 years old, presents with intense itching in both eyes, with recurrent episodes occurring annually during the spring and summer seasons, with remission in autumn and winter. Examination reveals flat, variably sized, pale-red papillae with a cobblestone-like appearance on the upper tarsal conjunctiva, accompanied by ropy mucous discharge.

[Single-choice question] Which cytological findings might be observed in conjunctival smear analysis? ()

A. Increased polymorphonuclear leukocytes  
B. Degenerated epithelial cells  
C. Increased mononuclear cells  
D. Cytoplasmic inclusions  
E. Increased eosinophils  ",E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,CE,E,CE,E,CE,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
28.0,Anterior Segment Diseases,Management,"Male, 15 years old, presents with intense bilateral ocular itching characterized by recurrent episodes during spring and summer seasons, with resolution in autumn and winter. Examination reveals flat, variably sized, pale-red papillae on the upper tarsal conjunctiva exhibiting a cobblestone-like appearance, accompanied by ropy mucus discharge.

[Single-choice Question] Which topical medication is most effective for symptom alleviation?  
A. 0.1% Acyclovir eye drops  
B. 0.5% Amphotericin B eye drops  
C. Sodium Cromoglicate and corticosteroid eye drops  
D. 0.5% Ribavirin eye drops  
E. Ofloxacin eye drops  ",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
29.0,External Eye/Orbital Diseases,Diagnosis,"Female, 9 years old, admitted with redness, pain in the left eye, and worsening pain upon eye movement for 2 days. Previous history of a persistent cold lasting 2 months, which recently subsided. Examination findings: T: 37.2°C. Ocular examination: Visual acuity—Right eye 1.0, Left eye 0.8. Right eye anterior segment and fundus normal. Left eye: Marked erythema and edema (++) in the upper and lower eyelid skin, conjunctival congestion and edema (++), and mild proptosis of the left eye.  

**[Single-choice Question]** Based on the history and examination, the most likely diagnosis is:  
A. Orbital cellulitis  
B. Hordeolum  
C. Acute conjunctivitis  
D. Acute dacryocystitis  
E. Acute orbital periostitis  ",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
30.0,External Eye/Orbital Diseases,Management,"Female, 9 years old, was admitted due to left eye redness, pain, and aggravated ocular pain during eye movement for 2 days. History of persistent common cold for 2 months with recent resolution. Physical examination: T: 37.2°C. Ocular examination: Visual acuity OD 1.0, OS 0.8. Right eye shows normal anterior segment and fundus. Left eye presents with moderate swelling and redness (2+) in upper and lower eyelid skin, conjunctival congestion and edema (2+), and mild proptosis.

[Single-choice question] To confirm the diagnosis, which further examinations should be performed?  
A. Blood routine test  
B. Blood glucose  
C. Ocular ultrasound  
D. Blood routine test + orbital CT scan  
E. Ocular MRI  ",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
31.0,External Eye/Orbital Diseases,Management,"Female, 9 years old, admitted with chief complaints of left eye redness, swelling, pain, and aggravated ocular pain during eye movement for 2 days. Previous medical history includes persistent common cold lasting 2 months, recently resolved. Examination: T 37.2°C. Ocular examination: Visual acuity OD 1.0, OS 0.8. Right eye anterior segment and fundus show no abnormalities. Left eye demonstrates severe erythema and swelling (++) of upper and lower eyelid skin, marked conjunctival chemosis and hyperemia (++), with mild proptosis of the left eyeball.

[Single-choice Question] The optimal treatment approach is:
A. Systemic antimicrobial therapy
B. Systemic antimicrobial therapy + Nasal drainage
C. Local ichthammol packing
D. Local physical therapy
E. Surgical intervention",B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,A,B,B,B,A,A,A,B,A,A,B,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B,B,B
32.0,External Eye/Orbital Diseases,Diagnosis,"A 9-year-old female patient was admitted with complaints of redness, swelling, and pain in the left eye, exacerbated by eye movement for 2 days. She had a history of a persistent cold for two months, which had recently resolved. Examination findings: Body temperature: 37.2°C. Ocular examination: Visual acuity OD 1.0, OS 0.8. The right eye showed no abnormalities in the anterior segment or fundus. The left eye exhibited moderate to severe erythema and swelling of the upper and lower eyelids (++), moderate to severe conjunctival congestion and edema (++), and mild proptosis of the left eye.  

[Single-choice Question]  
After treatment, if the infection persists and proptosis remains, the most likely diagnosis is:  
A. Subperiosteal orbital abscess  
B. Orbital abscess  
C. Cavernous sinus thrombosis  
D. Intracranial infection  
E. Orbital inflammatory pseudotumor  ",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
33.0,External Eye/Orbital Diseases,Management,"Female, 9 years old, admitted with **left eye redness, swelling, pain, and worsening pain during eye movement** for 2 days. Past medical history includes a **persistent cold lasting 2 months**, recently resolved. Examination: **T: 37.2°C**. Ocular examination: **Visual acuity** OD 1.0, OS 0.8. **Right eye** shows no abnormalities in the anterior segment or fundus. **Left eye** exhibits **++ erythema and edema of the upper and lower eyelid skin**, **++ conjunctival chemosis and hyperemia**, and **mild proptosis**. Despite treatment, **infection persists**, and **proptosis remains**.  

[Single-choice question] The most appropriate next step is:  
**A.** Ocular B-scan + Intensified antimicrobial therapy  
**B.** Orbital CT + Surgical drainage  
**C.** Orbital CT + Surgical drainage + Antimicrobial therapy  
**D.** Orbital CT + Intensified antimicrobial therapy  
**E.** Ocular B-scan + Surgical drainage + Antimicrobial therapy  
",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C
34.0,Ocular Trauma,Diagnosis,"Male, farmer, presented with blurred vision in the right eye for 1 month following injury by a grain projectile. Examination revealed right eye visual acuity 0.5, mild conjunctival injection, yellowish-white corneal lesion with dirty appearance, mild corneal edema, and hypopyon of 1 mm in the anterior chamber.

[Single-choice question] The most likely diagnosis is ()

A. Pseudomonas aeruginosa corneal ulcer  
B. Mooren's corneal ulcer  
C. Fungal corneal ulcer  
D. Viral corneal ulcer  
E. Serpiginous corneal ulcer  ",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
35.0,Ocular Trauma,Management,"Male, farmer, presented to the clinic with blurred vision in the right eye for 1 month following a grain injury. Examination revealed right eye visual acuity of 0.5, mild conjunctival injection, a yellowish-white corneal lesion with dirty appearance, mild corneal edema, and 1mm hypopyon.

[Single-choice Question] The most rapid and diagnostically significant ancillary test for this case is:  
A. Cytological examination  
B. Bacterial culture  
C. Corneal scraping for hyphae detection  
D. X-ray examination  
E. Electrophysiological examination  
",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,C,C,C,C
36.0,Ocular Trauma,Management,"Male, farmer, presented to the clinic with blurred vision in the right eye for 1 month after sustaining a grain projectile injury. Examination revealed right eye visual acuity of 0.5, mild conjunctival congestion, yellowish-white corneal lesion with dirty appearance, mild corneal edema, and 1 mm hypopyon in the anterior chamber.

[Single-choice Question] The first-line topical medication for this case is ()
A. Acyclovir
B. Gentamicin
C. Ribavirin
D. Polymyxin
E. Amphotericin B
",E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,B,B,E,E,E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
37.0,Refractive Disorders/Strabismus,Diagnosis,"Male, 22 years old, reports binocular diplopia persisting for half a month that worsens with fatigue, with a history of febrile illness preceding onset. Examination: BP 110/20 mmHg, normal systemic status. Ocular findings: Visual acuity OD 1.2, OS 1.2. No abnormalities in anterior segments or fundus of both eyes. In primary gaze, the right upper eyelid obscures the cornea to the pupillary center. Hirschberg test: Left eye L/R 8°. Alternate cover test: Right eye moves upward to refixate, left eye moves downward to refixate. Compensatory head posture: Slight rightward tilt.

[Single-choice Question] Based on the history and examination, the most likely diagnosis is:  
A. Congenital right upper eyelid ptosis  
B. Paralytic hypertropia  
C. Ocular myasthenia gravis  
D. Comitant hypertropia  
E. Thyroid-associated ophthalmopathy  
",C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
38.0,Refractive Disorders/Strabismus,Management,"Male, 22 years old, reports binocular double vision (diplopia) for half a month, worsening with fatigue, with a history of cold and fever prior to onset. **Examination**: Blood pressure 110/20 mmHg, general systemic condition stable. **Ocular findings**: Visual acuity OD 1.2, OS 1.2. No abnormalities detected in the anterior segments or fundus of both eyes. In primary gaze, the right upper eyelid covers the cornea up to the center of the pupil. Corneal light reflex reveals left eye L/R 8°. **Alternating cover test**: Right eye moves from downward to primary position, left eye moves from upward to primary position. **Compensatory head posture**: Mild right head tilt.

[Single-choice Question] To confirm the diagnosis, the next step should be:  
A. Diplopia (double vision) test  
B. Thyroid function tests  
C. Levator palpebrae superioris muscle strength assessment  
D. Neostigmine test  
E. Orbital CT scan  

",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
39.0,Refractive Disorders/Strabismus,Management,"A 22-year-old male patient presents with binocular diplopia persisting for half a month, worsening with fatigue, and a history of cold and fever prior to onset. Examination findings: Blood pressure 110/20 mmHg, normal systemic status. Ocular findings: Visual acuity OD 1.2, OS 1.2. No abnormalities in the anterior segments or fundus of either eye. In primary gaze, the right upper eyelid covers the cornea to the center of the pupil. Corneal light reflex shows left hyperdeviation of 8° (L/R 8°). Alternate cover test: Right eye moves from downward to primary position, left eye moves from upward to primary position. Compensatory head posture: Slight right head tilt.  

[Single-choice question] The most appropriate treatment is:  
A. Glucocorticoid therapy.  
B. Surgical correction of ptosis.  
C. Corrective strabismus surgery.  
D. Prescription of prism glasses.  
E. Antithyroid medication.  
",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
40.0,Refractive Disorders/Strabismus,Diagnosis,"Male, 30 years old, sustained a tennis ball injury to the left eye, with binocular diplopia for 10 days. Systemic condition is unremarkable. Ocular examination:  
- **Visual acuity**: OD 1.0, OS 1.0.  
- **Right eye**: Anterior segment and fundus normal.  
- **Left eye**: Eyelid ecchymosis and swelling (+), conjunctival congestion (+), clear cornea, normal fundus.  
- **Hirschberg test**: Left eye deviation of R/L 10°.  
- **Ocular motility**: Left eye supraduction cannot surpass the midline.  
- **Sensory deficit**: Infraorbital skin hypoesthesia on the left side.  

[Single-choice question] **The most likely diagnosis is:**  
A. Paralysis of the left superior rectus muscle  
B. Blowout fracture  
C. Incomplete paralysis of the left extraocular muscles  
D. Paralysis of the left supraducting muscles  
E. Left oculomotor nerve paralysis  ",B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
41.0,Refractive Disorders/Strabismus,Management,"Male, 30 years old, **left eye struck by a tennis ball**, reports **diplopia in both eyes for 10 days**. Systemic condition is stable. Ocular examination:  
- **Visual acuity**: OD 1.0, OS 1.0.  
- **Right eye**: Anterior segment and fundus normal.  
- **Left eye**: Eyelid ecchymosis and edema (+), conjunctival injection (+), clear cornea, normal fundus.  
- **Corneal light reflex**: Left eye **R/L 10°**, **left eye unable to elevate past the midline**, and **hypoesthesia of the infraorbital skin on the left side**.  

[Single-choice question]  
**The most appropriate next diagnostic test is**  
A. Orbital CT (plain scan)  
B. Orbital CT (coronal scan)  
C. Ocular B-scan ultrasound  
D. Carotid angiography  
E. MRI  
",B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B
42.0,Refractive Disorders/Strabismus,Management,"Male, 30 years old, sustained a tennis ball injury to the left eye with binocular diplopia for 10 days. General physical condition is stable. Ocular examination: Visual acuity OD 1.0, OS 1.0. Right eye anterior segment and fundus appear normal. Left eye shows (+) ecchymosis and swelling of eyelid skin, (+) conjunctival congestion, transparent cornea, and normal fundus. Hirschberg test shows left eye deviation of R/L 10°, with left eye supraduction unable to pass the midline, accompanied by hypoesthesia of the infraorbital skin on the left side.

[Single-choice question] The optimal treatment approach is:
A. Surgical intervention
B. Systemic anti-infective therapy
C. Local physical therapy
D. Corticosteroid therapy
E. Radiotherapy",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
43.0,Anterior Segment Diseases,Diagnosis,"Female, presents with left eye redness, swelling, and increased discharge for 1 day. Examination reveals left eyelid erythema and edema, copious yellow-white discharge in the conjunctival sac (recurring upon wiping), conjunctival congestion and chemosis, tender preauricular lymphadenopathy, and clear cornea. Accompanied by symptoms of urinary frequency, urgency, and dysuria.

[Single-choice question] What is the most likely diagnosis?  
A. Vernal keratoconjunctivitis  
B. Epidemic keratoconjunctivitis  
C. Gonococcal conjunctivitis  
D. Trachoma  
E. Acute conjunctivitis  
",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
44.0,Anterior Segment Diseases,Management,"Female, presents with left eye redness, swelling, and increased discharge for 1 day. Examination reveals left eyelid erythema and swelling, copious yellow-white discharge in the conjunctival sac that recurs after removal, conjunctival hyperemia and edema, tender preauricular lymphadenopathy, and transparent cornea. Associated symptoms include urinary frequency, urgency, and dysuria.

[Single-choice Question] Which of the following tests has diagnostic significance for differentiation? ()

A. Viral isolation  
B. Fluorescein staining  
C. Conjunctival scraping for Gram-positive bacteria  
D. Scraping for fungal elements  
E. Conjunctival scraping for inclusion bodies  
",C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,C,C,C,E,E,E,C,C,C,C,E,C,E,C,C,E,E,E,C,E,E,E,E,E,E,E,E,E,E,C,E,E,E
45.0,Anterior Segment Diseases,Management,"Female, presents with left eye redness, swelling, and increased discharge for 1 day. Examination reveals left eyelid erythema and edema, copious yellowish-white discharge in the conjunctival sac (recurring upon wiping), conjunctival congestion and edema, enlarged and tender preauricular lymph nodes, transparent cornea, accompanied by symptoms of urinary frequency, urgency, and dysuria.

[Single Choice Question] The most common complication is:  
A. Ptosis  
B. Chronic dacryocystitis  
C. Secondary cataract  
D. Complicated cataract  
E. Corneal perforation with infection  
",E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
46.0,Refractive Disorders/Strabismus,Management,"Female, 25 years old, has worn spectacles (-2.00 D) for 4 years. Ocular examination revealed no organic pathology, with an accommodative amplitude of 6 D.

[Single-choice question]  
In uncorrected vision, her far point is ()  
A. 16.7 cm in front of the eye  
B. 10 cm in front of the eye  
C. 50 cm in front of the eye  
D. 25 cm in front of the eye  
E. 12.5 cm in front of the eye  
",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
47.0,Refractive Disorders/Strabismus,Management,"Female, 25 years old, **has worn -2.00 diopters (D) corrective lenses for 4 years**. **Ocular examination reveals no organic pathology**, and **the amplitude of accommodation measures 6D**.  

[Single Choice Question]  
**In uncorrected vision, her near point is**:  
A. 16.7 cm in front of the eye  
B. 10 cm in front of the eye  
C. 50 cm in front of the eye  
D. 25 cm in front of the eye  
E. 12.5 cm in front of the eye  
",E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,A,D,E,D,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
48.0,Refractive Disorders/Strabismus,Management,"Female, 25 years old, has worn glasses (-2.00D) for 4 years. Ocular examinations revealed no organic lesions, with an accommodative amplitude of 6D.  
[Single-choice Question] The symptom or sign **most likely** observed in this patient is:  
A. Headache in the frontal region after reading  
B. Near vision cannot reach Jr1  
C. Impaired dark adaptation  
D. Skipping lines while reading  
E. Impaired light adaptation  
",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,D,B,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
49.0,Refractive Disorders/Strabismus,Management,"Male, 20 years old, presents with progressive decline of visual acuity in the left eye. Examination shows distance visual acuity: 0.8 in the right eye and 0.2 in the left eye. No strabismus observed. No significant organic lesions detected via slit-lamp examination or fundoscopy.  
[Single-choice Question] The best method to further clarify the diagnosis is ( )  
A. Refraction after atropine instillation  
B. Refraction under small pupil  
C. Automated refraction  
D. Near visual acuity testing  
E. Corneal topography  
",B,A,E,A,E,E,E,E,E,E,A,A,A,A,A,A,E,E,E,A,A,A,A,A,A,A,A,A,A,E,E,A,A,E,E,E,A,A,E,E,A,A,A,A,A,A,A,A,A
50.0,Refractive Disorders/Strabismus,Management,"A male patient, 20 years old, presents with progressive visual decline in the left eye. Examination reveals distant visual acuity: Right eye 0.8, Left eye 0.2. No strabismus is observed. Slit-lamp microscopy and fundus examination show no significant organic lesions.

[Single-choice question] Near visual acuity testing demonstrates: Right eye Jr1, Left eye Jr5. Refractive assessment reveals: Right eye: -1.00 D cylinder at 20° with corrected visual acuity 1.0; Left eye: -2.00 D sphere combined with -6.00 D cylinder at 160°, achieving corrected visual acuity 0.4. Which examination would most effectively aid further diagnosis? ( )

A. Measure corneal curvature  
B. Measure corneal thickness  
C. Measure axial length  
D. Corneal topography  
E. Applanation tonometry  
",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
51.0,Refractive Disorders/Strabismus,Diagnosis,"Male, 20 years old, progressive decline in left eye vision. **Distance visual acuity:** 0.8 in the right eye, 0.2 in the left eye. Examination reveals no strabismus, and no significant organic lesions are observed via slit-lamp or fundus examination. **Near visual acuity:** Right eye: Jr1, Left eye: Jr5. **Refraction results:** Right eye: -1.0DC × 20°, achieving corrected visual acuity of 1.0; Left eye: -2.00DS/-6.00DC × 160°, achieving corrected visual acuity of 0.4.  

[Single-choice Question]  
A lateral view reveals a conical protrusion of the cornea anteriorly. The most likely diagnosis for this patient is ( )  
A. Amblyopia  
B. Keratoconus  
C. Retrobulbar optic neuritis  
D. Against-the-rule astigmatism  
E. Glaucoma  ",B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
